timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-63.0;0.0;-63.0
100;-119.0;0.0;-119.0
200;-93.5;0.0;-93.5
300;-175.0;0.0;-175.0
400;-269.0;-24.0;-245.0
500;-296.0;12.0;-308.0
600;-447.0;4.0;-451.0
700;-388.0;16.0;-404.0
800;-460.0;0.0;-460.0
900;-352.0;0.0;-352.0
1000;-480.0;8.0;-488.0
1100;-480.0;8.0;-488.0
1200;-366.0;8.0;-374.0
1300;-480.0;8.0;-488.0
1400;-480.0;8.0;-488.0
1500;-328.0;8.0;-336.0
1600;-404.0;8.0;-412.0
1700;-408.0;4.0;-412.0
1800;-380.0;32.0;-412.0
1900;-412.0;0.0;-412.0
2000;-412.0;0.0;-412.0
2100;-420.0;-8.0;-412.0
2200;-420.0;-8.0;-412.0
2300;-268.0;-8.0;-260.0
2400;-272.0;-12.0;-260.0
2500;-260.0;0.0;-260.0
2600;-324.0;12.0;-336.0
2700;-792.0;0.0;-792.0
2800;-344.0;-8.0;-336.0
2900;40.0;-4.0;44.0
3000;-222.0;0.0;-222.0
3100;-328.0;8.0;-336.0
3200;-328.0;8.0;-336.0
3300;-328.0;8.0;-336.0
3400;-328.0;8.0;-336.0
3500;-282.0;16.0;-298.0
3600;-231.0;29.0;-260.0
3700;-220.0;40.0;-260.0
3800;-269.5;-9.5;-260.0
3900;-231.0;29.0;-260.0
4000;-209.0;51.0;-260.0
4100;-253.0;7.0;-260.0
4200;-217.0;43.0;-260.0
4300;-204.0;56.0;-260.0
4400;-217.0;43.0;-260.0
4500;-192.0;30.0;-222.0
4600;-154.0;30.0;-184.0
4700;-141.0;43.0;-184.0
4800;-311.5;62.5;-374.0
4900;-141.0;43.0;-184.0
5000;-141.0;43.0;-184.0
5100;-121.5;62.5;-184.0
5200;-121.5;62.5;-184.0
5300;-128.0;56.0;-184.0
5400;-160.5;23.5;-184.0
5500;-8.5;23.5;-32.0
5600;-65.0;43.0;-108.0
5700;-65.0;43.0;-108.0
5800;-65.0;43.0;-108.0
5900;-78.0;30.0;-108.0
6000;-179.0;43.0;-222.0
6100;-185.5;36.5;-222.0
6200;-65.0;43.0;-108.0
6300;-45.5;62.5;-108.0
6400;-179.0;43.0;-222.0
6500;-179.0;43.0;-222.0
6600;-179.0;43.0;-222.0
6700;17.5;49.5;-32.0
6800;11.0;43.0;-32.0
6900;112.0;30.0;82.0
7000;11.0;43.0;-32.0
7100;17.5;49.5;-32.0
7200;-21.5;10.5;-32.0
7300;11.0;43.0;-32.0
7400;11.0;43.0;-32.0
7500;49.0;43.0;6.0
7600;145.0;101.0;44.0
7700;97.0;53.0;44.0
7800;-9.0;61.0;-70.0
7900;105.0;61.0;44.0
8000;211.0;53.0;158.0
8100;113.0;69.0;44.0
8200;117.0;73.0;44.0
8300;105.0;61.0;44.0
8400;105.0;61.0;44.0
8500;135.0;53.0;82.0
8600;173.0;53.0;120.0
8700;287.0;53.0;234.0
8800;291.0;57.0;234.0
8900;213.0;93.0;120.0
9000;213.0;93.0;120.0
9100;173.0;53.0;120.0
9200;303.0;69.0;234.0
9300;185.0;65.0;120.0
9400;327.0;55.0;272.0
9500;123.0;79.0;44.0
9600;317.0;121.0;196.0
9700;323.0;127.0;196.0
9800;317.0;121.0;196.0
9900;-139.0;121.0;-260.0
10000;373.0;177.0;196.0
10100;373.0;177.0;196.0
