timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;8
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;8
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13007;9
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;11
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;8
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13008;4
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;2
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;5
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;4
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;10
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;8
10700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
11000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10007;5
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
14000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;6
23000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;13017;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10001;7
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;3
