timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-187.5;0.0;-187.5
100;-273.0;0.0;-273.0
200;-327.0;0.0;-327.0
300;-436.5;0.0;-436.5
400;-618.0;-24.0;-594.0
500;-587.0;16.0;-603.0
600;-519.0;8.0;-527.0
700;-511.0;16.0;-527.0
800;-523.0;4.0;-527.0
900;-625.0;16.0;-641.0
1000;-625.0;16.0;-641.0
1100;-523.0;4.0;-527.0
1200;-503.0;24.0;-527.0
1300;-523.0;4.0;-527.0
1400;-511.0;16.0;-527.0
1500;-483.0;44.0;-527.0
1600;-433.0;18.0;-451.0
1700;-461.0;28.0;-489.0
1800;-417.0;34.0;-451.0
1900;-417.0;34.0;-451.0
2000;-427.0;24.0;-451.0
2100;-427.0;24.0;-451.0
2200;-427.0;24.0;-451.0
2300;-427.0;24.0;-451.0
2400;-429.0;22.0;-451.0
2500;-381.0;32.0;-413.0
2600;-347.0;28.0;-375.0
2700;-727.0;28.0;-755.0
2800;-351.0;24.0;-375.0
2900;-5.0;28.0;-33.0
3000;-469.0;20.0;-489.0
3100;-359.0;16.0;-375.0
3200;-351.0;24.0;-375.0
3300;-351.0;24.0;-375.0
3400;-351.0;24.0;-375.0
3500;-313.0;24.0;-337.0
3600;-292.0;45.0;-337.0
3700;-254.0;45.0;-299.0
3800;-285.5;13.5;-299.0
3900;-254.0;45.0;-299.0
4000;-268.0;31.0;-299.0
4100;-275.0;24.0;-299.0
4200;-133.0;52.0;-185.0
4300;-247.0;52.0;-299.0
4400;-247.0;52.0;-299.0
4500;-133.0;52.0;-185.0
4600;-285.0;52.0;-337.0
4700;-162.0;61.0;-223.0
4800;-314.0;61.0;-375.0
4900;-157.5;65.5;-223.0
5000;-259.0;52.0;-311.0
5100;-139.0;52.0;-191.0
5200;-139.0;52.0;-191.0
5300;-139.0;52.0;-191.0
5400;-157.0;34.0;-191.0
5500;-188.0;43.0;-231.0
5600;-68.0;43.0;-111.0
5700;-468.0;43.0;-511.0
5800;-450.0;61.0;-511.0
5900;61.0;52.0;9.0
6000;-72.5;38.5;-111.0
6100;-72.5;38.5;-111.0
6200;-179.0;52.0;-231.0
6300;-59.0;52.0;-111.0
6400;-59.0;52.0;-111.0
6500;-19.0;52.0;-71.0
6600;-108.0;43.0;-151.0
6700;12.0;43.0;-31.0
6800;-108.0;43.0;-151.0
6900;-130.5;20.5;-151.0
7000;3.0;34.0;-31.0
7100;12.0;43.0;-31.0
7200;12.0;43.0;-31.0
7300;12.0;43.0;-31.0
7400;3.0;34.0;-31.0
7500;-37.0;34.0;-71.0
7600;2.0;73.0;-71.0
7700;-18.0;53.0;-71.0
7800;-18.0;53.0;-71.0
7900;98.0;49.0;49.0
8000;226.0;57.0;169.0
8100;106.0;57.0;49.0
8200;106.0;57.0;49.0
8300;108.0;59.0;49.0
8400;148.0;59.0;89.0
8500;142.0;53.0;89.0
8600;182.0;53.0;129.0
8700;182.0;53.0;129.0
8800;58.0;49.0;9.0
8900;194.0;65.0;129.0
9000;184.0;55.0;129.0
9100;182.0;53.0;129.0
9200;182.0;53.0;129.0
9300;102.0;53.0;49.0
9400;72.0;23.0;49.0
9500;322.0;73.0;249.0
9600;374.0;125.0;249.0
9700;390.0;141.0;249.0
9800;318.0;109.0;209.0
9900;334.0;125.0;209.0
10000;290.0;201.0;89.0
10100;410.0;201.0;209.0
10200;350.0;141.0;209.0
10300;470.0;141.0;329.0
10400;362.0;153.0;209.0
10500;322.0;153.0;169.0
10600;358.0;189.0;169.0
10700;843.0;194.0;649.0
10800;344.0;175.0;169.0
10900;464.0;175.0;289.0
11000;527.0;118.0;409.0
11100;287.0;118.0;169.0
11200;287.0;118.0;169.0
