timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-67.5;0.0;-67.5
100;-127.0;0.0;-127.0
200;-76.0;0.0;-76.0
300;-153.5;0.0;-153.5
400;-218.5;0.0;-218.5
500;-277.0;0.0;-277.0
600;-211.0;0.0;-211.0
700;-335.5;0.0;-335.5
800;-387.5;0.0;-387.5
900;-543.0;0.0;-543.0
1000;-485.0;0.0;-485.0
1100;-409.0;0.0;-409.0
1200;-409.0;0.0;-409.0
1300;-409.0;0.0;-409.0
1400;-409.0;0.0;-409.0
1500;-409.0;0.0;-409.0
1600;-409.0;0.0;-409.0
1700;-295.0;0.0;-295.0
1800;-295.0;0.0;-295.0
1900;-409.0;0.0;-409.0
2000;-371.0;0.0;-371.0
2100;-333.0;0.0;-333.0
2200;-333.0;0.0;-333.0
2300;-219.0;0.0;-219.0
2400;-333.0;0.0;-333.0
2500;-333.0;0.0;-333.0
2600;-333.0;0.0;-333.0
2700;-713.0;0.0;-713.0
2800;-333.0;0.0;-333.0
2900;47.0;0.0;47.0
3000;-295.0;0.0;-295.0
3100;-257.0;0.0;-257.0
3200;-257.0;0.0;-257.0
3300;-143.0;0.0;-143.0
3400;-257.0;0.0;-257.0
3500;-257.0;0.0;-257.0
3600;-257.0;0.0;-257.0
3700;-143.0;0.0;-143.0
3800;-257.0;0.0;-257.0
3900;-257.0;0.0;-257.0
4000;-219.0;0.0;-219.0
4100;-295.0;0.0;-295.0
4200;-181.0;0.0;-181.0
4300;-67.0;0.0;-67.0
4400;-295.0;0.0;-295.0
4500;-181.0;0.0;-181.0
4600;-181.0;0.0;-181.0
4700;-295.0;0.0;-295.0
4800;-333.0;0.0;-333.0
4900;-181.0;0.0;-181.0
5000;1.0;0.0;1.0
5100;1.0;0.0;1.0
5200;-79.0;0.0;-79.0
5300;-79.0;0.0;-79.0
5400;41.0;0.0;41.0
5500;-79.0;0.0;-79.0
5600;-79.0;0.0;-79.0
5700;-479.0;0.0;-479.0
5800;-479.0;0.0;-479.0
5900;-79.0;0.0;-79.0
6000;-159.0;0.0;-159.0
6100;1.0;0.0;1.0
6200;1.0;0.0;1.0
6300;1.0;0.0;1.0
6400;1.0;0.0;1.0
6500;-119.0;0.0;-119.0
6600;1.0;0.0;1.0
6700;1.0;0.0;1.0
6800;1.0;0.0;1.0
6900;1.0;0.0;1.0
7000;-79.0;0.0;-79.0
7100;81.0;0.0;81.0
7200;81.0;0.0;81.0
7300;81.0;0.0;81.0
7400;81.0;0.0;81.0
7500;201.0;0.0;201.0
7600;68.5;-12.5;81.0
7700;96.0;15.0;81.0
7800;88.5;7.5;81.0
7900;-24.0;15.0;-39.0
8000;-34.0;5.0;-39.0
8100;-29.0;10.0;-39.0
8200;51.0;10.0;41.0
8300;58.5;17.5;41.0
8400;171.0;10.0;161.0
8500;171.0;10.0;161.0
8600;176.0;15.0;161.0
8700;173.5;12.5;161.0
8800;173.5;12.5;161.0
8900;51.0;10.0;41.0
9000;211.0;10.0;201.0
9100;386.0;25.0;361.0
9200;371.0;10.0;361.0
9300;256.0;15.0;241.0
9400;196.0;-45.0;241.0
9500;271.0;30.0;241.0
9600;166.0;45.0;121.0
9700;271.0;30.0;241.0
9800;301.0;60.0;241.0
9900;-99.0;60.0;-159.0
10000;341.0;60.0;281.0
10100;381.0;60.0;321.0
10200;403.5;82.5;321.0
10300;388.5;67.5;321.0
10400;486.0;45.0;441.0
10500;388.5;67.5;321.0
10600;381.0;60.0;321.0
10700;403.5;82.5;321.0
10800;381.0;60.0;321.0
10900;396.0;75.0;321.0
11000;383.5;22.5;361.0
11100;436.0;75.0;361.0
11200;461.0;60.0;401.0
11300;461.0;60.0;401.0
11400;483.5;82.5;401.0
11500;461.0;60.0;401.0
11600;461.0;60.0;401.0
11700;603.5;82.5;521.0
11800;461.0;60.0;401.0
11900;581.0;60.0;521.0
12000;501.0;60.0;441.0
12100;541.0;60.0;481.0
12200;563.5;82.5;481.0
12300;541.0;60.0;481.0
12400;571.0;90.0;481.0
12500;571.0;90.0;481.0
12600;116.0;75.0;41.0
12700;436.0;75.0;361.0
12800;443.5;82.5;361.0
12900;556.0;75.0;481.0
13000;596.0;75.0;521.0
13100;636.0;75.0;561.0
13200;651.0;90.0;561.0
13300;651.0;90.0;561.0
13400;636.0;75.0;561.0
13500;516.0;75.0;441.0
13600;636.0;75.0;561.0
13700;636.0;75.0;561.0
13800;636.0;75.0;561.0
13900;1013.5;52.5;961.0
14000;796.0;75.0;721.0
14100;716.0;75.0;641.0
14200;701.0;60.0;641.0
14300;678.5;37.5;641.0
14400;501.0;60.0;441.0
14500;776.0;15.0;761.0
14600;821.0;60.0;761.0
14700;536.0;15.0;521.0
14800;701.0;60.0;641.0
14900;566.0;45.0;521.0
15000;696.0;15.0;681.0
15100;901.0;60.0;841.0
15200;781.0;60.0;721.0
15300;781.0;60.0;721.0
15400;781.0;60.0;721.0
15500;811.0;90.0;721.0
15600;911.0;70.0;841.0
15700;781.0;60.0;721.0
15800;786.0;65.0;721.0
15900;786.0;65.0;721.0
16000;826.0;65.0;761.0
16100;883.5;82.5;801.0
16200;871.0;70.0;801.0
16300;861.0;60.0;801.0
16400;866.0;65.0;801.0
16500;978.5;57.5;921.0
16600;861.0;60.0;801.0
16700;741.0;60.0;681.0
16800;861.0;60.0;801.0
16900;981.0;60.0;921.0
17000;986.0;65.0;921.0
17100;946.0;65.0;881.0
17200;826.0;65.0;761.0
17300;826.0;65.0;761.0
17400;1071.0;70.0;1001.0
