timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;25
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;23
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9995;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;1
1500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10997;4
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
10700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;5
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
22300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
25100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
37800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;8
44200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
44800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
45200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;6
46500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;9
49400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;9
53800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;8
58100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
61600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;4
65500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
80300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;4
87800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;5
93000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;8
98700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
115100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;9
