rank,name,family,lookback,entry,exit,direction,target,total_pnl,day0,day1,day2,max_abs_pos,turnover,fills,time_at_limit_pct
1,ema_diff_trend,ema_diff,50,5.0,0.0,1,200,3613233.0,1312823.0,1226216.0,1074194.0,200,128689,7053,71.33
2,momentum_trend,momentum,50,4.0,0.0,1,200,3549898.0,1286566.0,1177063.0,1086269.0,200,138611,7677,62.51
3,mid_z_trend,mid_z,50,1.5,0.0,1,200,3527661.0,1252121.0,1212427.0,1063113.0,200,135901,7474,68.25
4,ema_diff_trend,ema_diff,100,3.0,0.0,1,200,3442261.0,1279955.0,1173554.0,988752.0,200,145635,7978,78.89
5,mid_z_trend,mid_z,100,0.75,0.0,1,200,3403828.0,1329429.0,1177276.0,897123.0,200,126764,6977,81.62
6,mid_z_trend,mid_z,50,1.25,0.0,1,200,3317161.0,1193162.0,1162107.0,961892.0,200,158261,8698,71.43
7,ema_diff_trend,ema_diff,100,2.0,0.0,1,200,3150195.0,1201535.0,1069862.0,878798.0,200,176711,9698,77.92
8,mid_z_trend,mid_z,100,1.0,0.25,1,200,3150107.0,1121642.0,1062647.0,965818.0,200,179045,10030,60.6
9,mid_z_trend,mid_z,50,1.0,0.0,1,200,3126160.0,1118388.0,1094495.0,913277.0,200,179217,9837,72.86
10,ema_diff_trend,ema_diff,50,3.0,0.0,1,200,3047514.0,1126073.0,1064138.0,857303.0,200,188573,10381,71.48
11,momentum_trend,momentum,50,2.0,0.0,1,200,3031428.0,1095029.0,1055467.0,880932.0,200,191535,10607,70.92
12,mid_z_trend,mid_z,50,0.75,0.0,1,200,2943029.0,1051603.0,1020982.0,870444.0,200,201637,11103,73.91
13,mid_z_trend,mid_z,100,0.75,0.25,1,200,2882827.0,1036629.0,981470.0,864728.0,200,207347,11591,65.17
14,mid_z_trend,mid_z,100,1.0,0.5,1,200,2753880.0,952375.0,934024.0,867481.0,200,220387,12445,54.69
15,ema_diff_trend,ema_diff,100,1.0,0.0,1,200,2735343.0,1080742.0,936386.0,718215.0,200,220111,12104,77.6
16,ema_diff_trend,ema_diff,50,2.0,0.0,1,200,2714685.0,995794.0,952176.0,766715.0,200,226489,12488,71.69
17,mid_z_trend,mid_z,50,2.0,0.0,1,150,2634642.0,892511.0,908788.0,833343.0,150,74325,4081,64.27
18,mid_z_trend,mid_z,100,1.25,0.25,1,200,2512081.0,1177417.0,1148333.0,186331.0,200,157144,8835,56.26
19,ema_diff_trend,ema_diff,100,5.0,0.0,1,200,2400520.0,1357632.0,1268553.0,-225665.0,200,106270,5855,78.44
20,mid_z_trend,mid_z,100,0.75,0.0,1,150,2383601.0,898508.0,781380.0,703713.0,150,101051,5578,84.83
21,ema_diff_trend,ema_diff,50,5.0,0.0,1,150,2366001.0,881164.0,813269.0,671568.0,150,104551,5746,76.24
22,mid_z_trend,mid_z,100,0.75,0.5,1,200,2306090.0,818437.0,793854.0,693799.0,200,267747,15062,59.26
23,mid_z_trend,mid_z,50,1.5,0.0,1,150,2303205.0,831373.0,803479.0,668353.0,150,110313,6098,75.22
24,mid_z_trend,mid_z,50,2.0,0.0,1,200,2290203.0,1331032.0,362980.0,596191.0,200,88171,4835,56.63
25,momentum_trend,momentum,50,4.0,0.0,1,150,2289362.0,848627.0,759940.0,680795.0,150,113603,6323,66.15
26,ema_diff_trend,ema_diff,20,5.0,0.0,1,200,2277760.0,1254842.0,230647.0,792271.0,200,135585,7444,52.12
27,ema_diff_trend,ema_diff,20,5.0,0.0,1,150,2270692.0,821604.0,786189.0,662899.0,150,115457,6344,59.17
28,mid_z_trend,mid_z,100,2.0,0.25,1,200,2239450.0,1287264.0,1324691.0,-372505.0,200,105042,5936,38.91
29,ema_diff_trend,ema_diff,100,3.0,0.0,1,150,2232995.0,858543.0,771624.0,602828.0,150,118205,6515,82.43
30,mid_z_trend,mid_z,100,1.25,0.5,1,200,2219751.0,1040293.0,1059185.0,120273.0,200,187306,10601,50.14
31,ema_diff_trend,ema_diff,20,3.0,0.0,1,200,2212230.0,907816.0,529236.0,775178.0,200,239835,13167,55.79
32,ema_diff_trend,ema_diff,10,5.0,0.0,1,200,2208741.0,1336022.0,-345307.0,1218026.0,200,102816,5625,34.34
33,momentum_trend,momentum,50,6.0,0.0,1,200,2208151.0,1321953.0,1285153.0,-398955.0,200,107628,5982,51.54
34,mid_z_trend,mid_z,100,1.0,0.0,1,200,2190894.0,1368683.0,1246931.0,-424720.0,200,107948,5941,81.66
35,ema_diff_trend,ema_diff,100,5.0,0.0,1,150,2133846.0,929467.0,854468.0,349911.0,150,85318,4722,81.84
36,mid_z_trend,mid_z,50,1.25,0.0,1,150,2132080.0,780256.0,756573.0,595251.0,150,127811,7064,77.57
37,mid_z_trend,mid_z,100,2.0,0.5,1,200,2129809.0,1248996.0,1286565.0,-405752.0,200,116342,6612,33.44
38,ema_diff_trend,ema_diff,50,1.0,0.0,1,200,2110499.0,803635.0,725036.0,581828.0,200,289157,15942,70.46
39,mid_z_trend,mid_z,50,1.25,0.25,1,200,2041981.0,878216.0,478411.0,685354.0,200,249599,13915,50.5
40,mid_z_trend,mid_z,20,2.0,0.0,1,150,2039388.0,751502.0,750288.0,537598.0,150,123064,6752,43.07
41,mid_z_trend,mid_z,20,1.5,0.0,1,200,2009383.0,947817.0,224399.0,837167.0,200,220360,12079,46.43
42,mid_z_trend,mid_z,50,1.0,0.0,1,150,1993390.0,730602.0,703764.0,559024.0,150,143687,7935,78.01
43,ema_diff_trend,ema_diff,100,2.0,0.0,1,150,1977348.0,786350.0,678536.0,512462.0,150,145081,8021,81.68
44,mid_z_trend,mid_z,100,1.0,0.25,1,150,1975679.0,718248.0,662129.0,595302.0,150,146645,8232,63.53
45,mid_z_trend,mid_z,20,1.25,0.0,1,200,1972304.0,798870.0,461018.0,712416.0,200,264091,14493,51.21
46,mid_z_trend,mid_z,100,1.5,0.25,1,200,1906763.0,1202621.0,1212940.0,-508798.0,200,139678,7870,51.09
47,mid_z_trend,mid_z,50,0.75,0.25,1,200,1900961.0,671855.0,651132.0,577974.0,200,307515,17106,58.93
48,ema_diff_trend,ema_diff,50,3.0,0.0,1,150,1893385.0,717147.0,673054.0,503184.0,150,154721,8549,76.36
49,momentum_trend,momentum,50,2.0,0.0,1,150,1870201.0,687582.0,672764.0,509855.0,150,157847,8792,74.58
50,mid_z_trend,mid_z,100,1.25,0.0,1,200,1857098.0,1386344.0,1324978.0,-854224.0,200,94168,5186,81.33
51,mid_z_trend,mid_z,50,0.75,0.0,1,150,1846559.0,667065.0,654226.0,525268.0,150,161917,8956,78.76
52,mid_z_trend,mid_z,100,1.0,0.0,1,150,1835893.0,936457.0,819337.0,80099.0,150,86036,4754,84.95
53,mid_z_trend,mid_z,50,1.0,0.25,1,200,1821817.0,778255.0,391948.0,651614.0,200,276954,15413,55.05
