rank,indicator,lookback,entry,exit,target,score,total,worst_day,turnover,trades,day_1,day_2,day_3
1,rolling_z,800,2.0,0.0,200,45362.95,87119.0,23610.0,13400,373,23610.0,31862.0,31647.0
2,rolling_z,650,2.0,0.0,200,38804.38,82490.0,18212.0,15058,415,18212.0,19264.0,45014.0
3,rolling_z,800,2.0,0.0,150,36693.98,65920.0,20235.0,10512,300,20235.0,22719.0,22966.0
4,rolling_z,2000,2.25,0.0,200,35532.87,72665.0,17374.0,3690,107,23334.0,17374.0,31957.0
5,ema_z,1000,2.0,0.0,200,29614.99,75151.0,10840.0,6382,177,35682.0,10840.0,28629.0
6,rolling_z,1800,2.25,0.0,200,29139.4,53512.0,15769.0,3800,108,16723.0,15769.0,21020.0
7,rolling_z,650,2.0,0.0,150,27357.03,59181.0,12585.0,11608,327,14175.0,12585.0,32421.0
8,rolling_z,2000,2.25,0.0,150,26377.8,54874.0,12665.0,2850,82,18878.0,12665.0,23331.0
9,rolling_z,1800,2.5,0.0,200,26031.9,57160.0,11747.0,2549,72,11747.0,19078.0,26335.0
10,rolling_z,800,2.0,0.0,100,25737.86,45259.0,14438.0,7446,219,15837.0,14984.0,14438.0
11,rolling_z,2000,2.0,0.0,200,25189.44,53324.0,11867.0,4281,123,15235.0,11867.0,26222.0
12,rolling_z,1800,2.5,0.0,150,24650.63,47392.0,12807.0,2184,63,12807.0,15072.0,19513.0
13,ema_z,1000,2.0,0.0,150,23956.44,63258.0,8152.0,5032,141,31018.0,8152.0,24088.0
14,ema_z,650,2.75,0.0,200,23875.61,53659.0,10469.0,4072,115,30697.0,12493.0,10469.0
15,rolling_z,650,2.25,0.0,200,23761.75,67296.0,6960.0,11123,309,21899.0,6960.0,38437.0
16,rolling_z,1500,2.5,0.0,200,21453.7,50084.0,8940.0,3648,103,29581.0,8940.0,11563.0
17,rolling_z,1800,2.0,0.0,200,21253.55,49114.0,8984.0,4474,129,16595.0,8984.0,23535.0
18,rolling_z,1800,2.25,0.0,150,21110.8,38558.0,11477.0,2850,82,11614.0,11477.0,15467.0
19,ema_z,650,2.75,0.0,150,20260.77,45169.0,8975.0,3242,93,25475.0,8975.0,10719.0
20,ema_z,650,2.0,0.0,200,19756.71,56932.0,5544.0,10146,280,10297.0,5544.0,41091.0
21,rolling_z,650,2.25,0.0,150,19737.56,56654.0,5592.0,8968,255,17930.0,5592.0,33132.0
22,rolling_z,2000,2.0,0.0,150,19613.59,42833.0,8912.0,3331,96,10849.0,8912.0,23072.0
23,ema_z,800,2.0,0.0,200,19067.14,82537.0,-1549.0,9054,249,34129.0,-1549.0,49957.0
24,ema_z,650,2.0,0.0,150,17862.92,45912.0,6401.0,8042,228,7285.0,6401.0,32226.0
25,rolling_z,1500,2.25,0.0,200,17601.47,39231.0,7803.0,4639,131,20088.0,11340.0,7803.0
26,rolling_z,1500,2.5,0.0,150,17483.2,41536.0,7105.0,2898,82,21147.0,7105.0,13284.0
27,rolling_z,650,2.0,0.0,100,17417.68,38832.0,7726.0,8158,238,9922.0,7726.0,21184.0
28,ema_z,1000,2.0,0.0,100,17372.9,46892.0,5657.0,3552,105,21073.0,5657.0,20162.0
29,rolling_z,2000,2.25,0.0,100,16720.45,34217.0,8170.0,1900,57,11332.0,8170.0,14715.0
30,rolling_z,1800,2.0,0.0,150,16509.95,39888.0,6545.0,3524,102,12859.0,6545.0,20484.0
31,ema_z,1200,2.0,0.0,200,16405.75,62510.0,788.0,4874,138,788.0,20569.0,41153.0
32,rolling_z,1800,2.5,0.0,100,16397.68,31127.0,8619.0,1534,45,8619.0,9899.0,12609.0
33,ema_z,1500,2.0,0.0,200,15858.22,68451.0,-1246.0,4267,120,-1246.0,4721.0,64976.0
34,ema_z,500,2.5,0.0,200,15815.57,35659.0,6915.0,7088,196,7094.0,6915.0,21650.0
35,rolling_z,650,2.25,0.0,100,15038.46,41678.0,4632.0,6518,192,10855.0,4632.0,26191.0
36,rolling_z,800,2.25,0.0,200,14983.16,52078.0,1980.0,8169,228,1980.0,27681.0,22417.0
37,ema_z,1000,2.25,0.0,200,14687.33,28058.0,7681.0,4084,113,7681.0,11841.0,8536.0
38,ema_z,650,2.5,0.0,200,14486.17,33872.0,6028.0,4914,137,17255.0,6028.0,10589.0
39,rolling_z,800,2.25,0.0,150,14448.96,43520.0,3582.0,6519,184,3582.0,22231.0,17707.0
40,rolling_z,800,2.25,0.0,100,14417.34,36008.0,5425.0,4829,140,5425.0,16996.0,13587.0
41,ema_z,800,2.0,0.0,150,14390.24,63065.0,-1362.0,7004,195,26721.0,-1362.0,37706.0
42,ema_z,1200,2.0,0.0,150,13993.35,51252.0,1188.0,3824,106,1188.0,15062.0,35002.0
43,rolling_z,1500,2.5,0.0,100,13769.76,32660.0,5609.0,2122,63,13301.0,5609.0,13750.0
44,rolling_z,1800,2.25,0.0,100,13703.2,25140.0,7422.0,1900,56,7584.0,7422.0,10134.0
45,ema_z,650,2.75,0.0,100,13583.92,30254.0,6025.0,2292,66,17368.0,6025.0,6861.0
46,rolling_z,2000,2.0,0.0,100,13489.08,30667.0,5827.0,2333,69,6484.0,5827.0,18356.0
47,rolling_z,800,2.0,0.0,50,13485.36,24281.0,7423.0,3946,121,9366.0,7492.0,7423.0
48,ema_z,1800,2.0,0.0,200,13169.82,59028.0,-1581.0,3091,87,-1581.0,3442.0,57167.0
49,ema_z,2000,2.0,0.0,200,12993.5,56723.0,-1182.0,2626,72,296.0,-1182.0,57609.0
50,rolling_z,1500,2.25,0.0,150,12508.77,27923.0,5535.0,3489,101,14556.0,7832.0,5535.0
51,ema_z,650,2.0,0.0,100,12477.36,32720.0,4309.0,5820,172,4309.0,7224.0,21187.0
52,ema_z,1500,2.0,0.0,150,12212.72,52533.0,-914.0,3263,92,-914.0,3577.0,49870.0
53,rolling_z,1800,2.0,0.0,100,11864.7,30047.0,4358.0,2526,75,9122.0,4358.0,16567.0
54,rolling_z,2000,2.5,0.0,200,11563.86,47327.0,-264.0,1943,55,-264.0,20956.0,26635.0
55,ema_z,1000,2.5,0.0,200,11506.21,32297.0,3437.0,2518,72,3437.0,7807.0,21053.0
56,ema_z,1200,2.0,0.0,100,10799.95,35829.0,1848.0,2648,79,1848.0,9470.0,24511.0
57,ema_z,500,2.5,0.0,150,10794.5,28467.0,3689.0,5626,157,3689.0,7609.0,17169.0
58,ema_z,2000,2.0,0.0,150,10731.42,45130.0,-547.0,2038,60,72.0,-547.0,45605.0
59,ema_z,1000,2.25,0.0,150,10664.76,22930.0,4939.0,3368,94,8034.0,9957.0,4939.0
60,ema_z,650,3.0,0.0,200,10656.68,42396.0,63.0,2658,78,24793.0,17540.0,63.0
61,rolling_z,1500,2.0,0.0,200,10618.68,29993.0,3131.0,5284,147,16989.0,3131.0,9873.0
62,ema_z,800,2.0,0.0,100,10262.27,43468.0,-595.0,4864,144,17490.0,-595.0,26573.0
63,rolling_z,800,2.25,0.0,50,9962.64,20380.0,4873.0,2678,82,4873.0,9353.0,6154.0
64,ema_z,1800,2.0,0.0,150,9896.73,44622.0,-1254.0,2386,68,-1254.0,3286.0,42590.0
65,ema_z,650,3.0,0.0,150,9859.76,33792.0,1416.0,2120,63,19136.0,13240.0,1416.0
66,ema_z,650,3.0,0.0,100,9531.36,25302.0,3209.0,1570,47,13398.0,8695.0,3209.0
67,ema_z,2000,2.5,0.0,200,9230.4,43876.0,-1735.0,1800,53,8479.0,-1735.0,37132.0
68,ema_z,650,2.5,0.0,150,9173.76,24082.0,3161.0,3868,109,13164.0,3161.0,7757.0
69,rolling_z,650,2.25,0.0,50,9043.37,23447.0,3189.0,3690,113,4265.0,3189.0,15993.0
70,ema_z,1000,2.0,0.0,50,8830.58,22705.0,3158.0,1834,57,9714.0,3158.0,9833.0
71,rolling_z,650,2.0,0.0,50,8725.33,19252.0,3921.0,4336,132,5422.0,3921.0,9909.0
72,ema_z,500,2.0,0.0,200,8585.75,33224.0,304.0,12124,337,304.0,6551.0,26369.0
73,ema_z,1000,2.5,0.0,150,8369.26,26653.0,1710.0,1994,58,1710.0,5470.0,19473.0
74,rolling_z,1800,2.5,0.0,50,8340.3,15876.0,4373.0,850,27,4373.0,4914.0,6589.0
75,rolling_z,2000,2.5,0.0,150,8296.26,34693.0,-374.0,1493,42,-374.0,15306.0,19761.0
76,rolling_z,500,2.5,0.0,150,8187.65,24880.0,1983.0,7673,217,13350.0,1983.0,9547.0
77,ema_z,1500,2.0,0.0,100,8118.32,34519.0,-507.0,2213,65,-507.0,2114.0,32912.0
78,ema_z,1200,2.0,0.0,50,8056.2,19208.0,3257.0,1398,44,3257.0,4493.0,11458.0
79,rolling_z,1500,2.5,0.0,50,8010.2,16362.0,3922.0,1150,37,6037.0,3922.0,6403.0
80,ema_z,650,3.0,0.0,50,7980.65,15922.0,4002.0,924,30,7783.0,4137.0,4002.0
81,rolling_z,1500,2.25,0.0,100,7953.57,17857.0,3494.0,2339,71,9394.0,4969.0,3494.0
82,rolling_z,1500,2.0,0.0,150,7733.68,23607.0,1840.0,4034,115,11790.0,1840.0,9977.0
83,rolling_z,2000,2.25,0.0,50,7674.85,14987.0,3930.0,950,30,4389.0,3930.0,6668.0
84,ema_z,500,2.75,0.0,200,7663.81,23753.0,1735.0,4722,132,13825.0,1735.0,8193.0
85,ema_z,650,2.0,0.0,50,7583.95,20615.0,2437.0,3402,103,2437.0,7133.0,11045.0
86,rolling_z,500,2.5,0.0,100,7502.64,17603.0,3113.0,5553,162,9485.0,3113.0,5005.0
87,ema_z,2000,2.0,0.0,100,7395.97,29651.0,-14.0,1388,41,-14.0,129.0,29536.0
88,ema_z,2000,2.5,0.0,150,6689.05,32179.0,-1353.0,1350,41,6120.0,-1353.0,27412.0
89,rolling_z,1800,2.25,0.0,50,6626.1,12128.0,3596.0,950,30,3747.0,3596.0,4785.0
90,ema_z,2000,2.25,0.0,200,6452.76,34986.0,-2290.0,1872,53,4732.0,-2290.0,32544.0
91,rolling_z,1500,2.75,0.0,200,6395.46,43693.0,-4522.0,2894,82,39006.0,9209.0,-4522.0
92,ema_z,500,2.5,0.0,100,6382.35,21166.0,1099.0,4076,119,1099.0,7200.0,12867.0
93,ema_z,1800,2.0,0.0,100,6332.98,29557.0,-1053.0,1636,48,-1053.0,2588.0,28022.0
94,ema_z,800,2.0,0.0,50,6147.87,23285.0,332.0,2692,84,7433.0,332.0,15520.0
95,ema_z,650,2.75,0.0,50,6117.7,12572.0,2977.0,1150,36,6319.0,2977.0,3276.0
96,ema_z,500,2.75,0.0,150,6044.96,21014.0,799.0,3772,106,12139.0,799.0,8076.0
97,rolling_z,500,2.5,0.0,200,5923.21,25269.0,-376.0,9021,251,15851.0,-376.0,9794.0
98,ema_z,1200,3.0,0.0,200,5882.45,19253.0,1072.0,1400,40,15041.0,1072.0,3140.0
99,rolling_z,1800,2.0,0.0,50,5843.55,15201.0,2046.0,1350,42,5196.0,2046.0,7959.0
100,rolling_z,1500,2.0,0.0,100,5669.43,18364.0,1084.0,2784,83,7179.0,1084.0,10101.0
101,rolling_z,2000,2.0,0.0,50,5595.63,13568.0,2206.0,1183,38,2206.0,2836.0,8526.0
102,rolling_z,1500,2.75,0.0,150,5485.76,34241.0,-3070.0,2244,63,28233.0,9078.0,-3070.0
103,ema_z,1000,2.25,0.0,100,5440.15,13363.0,2104.0,2300,66,4544.0,6715.0,2104.0
104,rolling_z,650,2.5,0.0,100,5440.0,25125.0,-834.0,3624,106,8938.0,-834.0,17021.0
105,rolling_z,1000,2.5,0.0,200,5356.98,12936.0,2132.0,4510,123,7889.0,2915.0,2132.0
106,rolling_z,2000,2.5,0.0,100,5346.91,22964.0,-392.0,1043,32,-392.0,9963.0,13393.0
107,ema_z,1800,2.5,0.0,200,5234.15,34739.0,-3447.0,1800,51,5260.0,-3447.0,32926.0
108,ema_z,800,2.25,0.0,100,5176.66,20000.0,183.0,3169,89,4329.0,183.0,15488.0
109,rolling_z,2000,2.75,0.0,100,5131.3,23752.0,-805.0,848,25,-805.0,10398.0,14159.0
110,rolling_z,2000,2.75,0.0,150,5122.1,30790.0,-2573.0,1198,34,-2573.0,14659.0,18704.0
111,rolling_z,650,2.5,0.0,50,4997.6,17211.0,699.0,2074,64,5035.0,699.0,11477.0
112,ema_z,800,2.25,0.0,150,4815.77,23454.0,-1039.0,4367,122,7036.0,-1039.0,17457.0
